Test Name,Version,Description,GPU ID,Duration (s),Mem Usage (%),Score,Unit,Avg Temp (C),Max Temp (C),Avg Mem Temp (C),Max Mem Temp (C),Avg Power (W),Max Power (W),Avg Clock(MHz),Efficiency,PCIe Gen,PCIe Width,Limit Reason,Max Fan (%),Volts Core (mV),Volts SoC (mV),Command Lines
baseline_metrics,1.0.14,Baseline Idle Metrics (No Load),0,120,99,0.0,GB/s,39.1,40.0,0.0,0.0,88.2,90.9,1734.5,0.0,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/idle 0 120 99 --verify
memory_thermal_asym,1.0.14,Memory Asymmetric Thermal (Stack Isolator),0,120,99,2.18148,TFLOPS,58.3,64.0,0.0,0.0,219.5,227.7,1740.0,9.94,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_thermal_asym 0 120 99 --verify
memory_cache_fracture,1.0.14,Memory Cache Fracturing (Queue Overload),0,120,99,168.848,GB/s,65.1,66.0,0.0,0.0,238.4,242.6,1740.0,725.25,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_cache_fracture 0 120 99 --verify
memory_retention_bake,1.0.14,Memory Retention Bake (Charge Leak Test),0,120,99,33.9576,TFLOPS,73.3,74.0,0.0,0.0,280.4,285.0,1740.0,121.1,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_retention_bake 0 120 99 --verify
memory_pc_pingpong,1.0.14,Memory Pseudo-Channel Ping-Pong (Crossbar),0,120,99,481.466,GB/s,61.5,67.0,0.0,0.0,199.7,206.1,1740.0,2468.81,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_pc_pingpong 0 120 99 --verify
memory_bank_thrash,1.0.14,Memory Bank Thrasher (Row Misses),0,120,99,181.527,GB/s,63.1,64.0,0.0,0.0,227.1,232.6,1740.0,818.51,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_bank_thrash 0 120 99 --verify
memory_tsv_thrasher,1.0.14,Memory TSV Thrasher (PHY Toggle-Rate Stress),0,120,99,553.061,GB/s,59.7,62.0,0.0,0.0,187.1,191.0,1740.0,3026.91,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_tsv_thrasher 0 120 99 --verify
tlb_avalanche,1.0.14,TLB Avalanche (MMU Page Walk Stress),0,120,99,86.2538,GB/s,61.6,63.0,0.0,0.0,218.5,221.6,1740.0,404.23,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/tlb_avalanche 0 120 99 --verify
ras_validator,1.0.14,RAS Validator (ECC Scrub Stress),0,120,99,586.349,GB/s,65.3,66.0,0.0,0.0,236.6,239.7,1740.0,2537.71,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/ras_validator 0 120 99 --verify
int_virus,1.0.14,Integer Virus (INT32/Logic Pipeline),0,120,99,17.1331,TOPS,74.0,75.0,0.0,0.0,294.0,298.5,1601.5,0.06,4.0,16.0,Power,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/int_virus 0 120 99 --verify
scheduler,1.0.14,Scheduler Virus (Context Switch / KIPS),0,120,99,502.282,KIPS,50.3,67.0,0.0,0.0,99.3,213.5,1740.0,5.06,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/scheduler_virus 0 120 99 --verify
mma_virus,1.0.14,MMA Virus (Physical Matrix/Tensor Cores),0,120,99,295.695,TFLOPS,56.0,58.0,0.0,0.0,177.0,181.7,1740.0,1670.59,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/mma_virus 0 120 99 --verify
fp64_virus,1.0.14,FP64 Chokehold (Double Precision),0,120,99,0.577432,TFLOPS,50.3,55.0,0.0,0.0,122.0,123.7,1740.0,4.73,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/fp64_virus 0 120 99 --verify
memory_write,1.0.14,Memory Write (Standard),0,120,99,554.83,GB/s,62.4,67.0,0.0,0.0,243.8,251.9,1740.0,2330.38,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_write 0 120 99 --verify
memory_write_agg,1.0.14,Memory Write (Aggressive),0,120,99,554.911,GB/s,67.5,68.0,0.0,0.0,251.8,254.2,1740.0,2256.67,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_write_agg 0 120 99 --verify
memory_read,1.0.14,Memory Read (Standard),0,120,99,585.809,GB/s,68.1,69.0,0.0,0.0,259.6,262.2,1740.0,2310.74,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_read 0 120 99 --verify
memory_read_agg,1.0.14,Memory Read (Aggressive),0,120,99,585.793,GB/s,68.6,69.0,0.0,0.0,260.1,262.4,1740.0,2306.24,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/memory_read_agg 0 120 99 --verify
voltage,1.0.14,Voltage Virus (ALU Hammer),0,120,99,9.143,TFLOPS,63.3,67.0,0.0,0.0,193.2,205.1,1740.0,47.32,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/compute_virus 0 120 99 --verify
incinerator,1.0.14,Incinerator (LDS Stress),0,120,99,16.5959,TFLOPS,72.7,75.0,0.0,0.0,297.7,308.0,1715.2,55.75,4.0,16.0,Power,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/compute_virus_agg 0 120 99 --verify
cache_lat,1.0.14,Cache Latency,0,120,99,N/A,,65.0,69.0,0.0,0.0,235.9,243.0,1740.0,0.0,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/cache_latency 0 120 99 --verify
sfu_stress,1.0.14,SFU Virus (Transcendental Math),0,120,99,1.77556,TFLOPS,73.9,75.0,0.0,0.0,295.2,300.4,1710.1,6.01,4.0,16.0,Power,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/sfu_stress 0 120 99 --verify
pcie_bandwidth,1.0.14,PCIe Thrasher (Host <-> Device),0,120,99,23.2653,GB/s,50.8,66.0,0.0,0.0,104.5,149.3,1740.0,227.98,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/pcie_bandwidth 0 120 99 --verify
pulse_virus,1.0.14,Transient Pulse (VRM Attack 10Hz),0,120,99,6.78045,TFLOPS,49.1,50.0,0.0,0.0,132.0,134.7,1740.0,51.37,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/pulse_virus 0 120 99 --verify
tensor_virus,1.0.14,Tensor Virus (FP16 Matrix Power),0,120,99,18.3124,TFLOPS,68.4,74.0,0.0,0.0,278.6,298.7,1740.0,65.73,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/tensor_virus 0 120 99 --verify
atomic_virus,1.0.14,Atomic Virus (L2 Cache Thrash),0,120,99,325826.0,MAPS,60.4,67.0,0.0,0.0,177.8,185.3,1740.0,1832.54,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/atomic_virus 0 120 99 --verify
omni_virus,1.0.14,Omni Virus (Mem + FP16 + FP32 Async),0,120,99,11.6453,TFLOPS,66.1,69.0,0.0,0.0,254.9,267.4,1740.0,45.69,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/omni_virus 0 120 99 --verify
p2p_thrasher,1.0.14,P2P Thrasher (Multi-GPU Interconnect),0,120,99,0.0,GB/s,63.0,63.0,0.0,0.0,181.7,181.7,1740.0,0.0,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/p2p_thrasher 0 120 99 --verify
all_reduce,1.0.14,All-Reduce (Two-Rank Peer DMA Collective),0,120,99,0.0,GB/s,61.5,62.0,0.0,0.0,108.0,111.9,1740.0,0.0,4.0,16.0,Idle,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/all_reduce 0 120 99 --verify
transformer_virus,1.0.14,Transformer Virus (FP8/FP4 Engine),0,120,99,141.594,TFLOPS,60.5,64.0,0.0,0.0,177.3,183.0,1740.0,798.61,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/transformer_virus 0 120 99 --verify
llm_decode,1.0.14,LLM Decode (KV-Cache Gather and Projection),0,120,99,806984000.0,tokens/s,63.0,65.0,0.0,0.0,237.1,242.0,1740.0,3403559.68,4.0,16.0,None,0.0,0.0,0.0,/root/.cache/pantheongpu/builds/1.0.14/cuda-86/llm_decode 0 120 99 --verify
