Test_Name,Timestamp,GPU_ID,Temp_Core(C),Temp_Mem(C),Power(W),Clock(MHz),Fan(%),Volts_Core(mV),Volts_SoC(mV),PCIe_Gen,PCIe_Width,Throttle_Reason
baseline_metrics,0.01,0,35,0,62.017,1080,0,0,0,4,16,Idle
baseline_metrics,1.01,0,36,0,75.833,1740,0,0,0,4,16,None
baseline_metrics,2.01,0,37,0,86.983,1740,0,0,0,4,16,None
baseline_metrics,3.01,0,37,0,86.921,1740,0,0,0,4,16,None
baseline_metrics,4.02,0,37,0,88.301,1740,0,0,0,4,16,None
baseline_metrics,5.02,0,37,0,87.571,1740,0,0,0,4,16,None
baseline_metrics,6.02,0,37,0,86.939,1740,0,0,0,4,16,None
baseline_metrics,7.02,0,37,0,87.036,1740,0,0,0,4,16,None
baseline_metrics,8.02,0,37,0,87.036,1740,0,0,0,4,16,None
baseline_metrics,9.09,0,37,0,87.036,1740,0,0,0,4,16,None
baseline_metrics,10.09,0,38,0,87.085,1740,0,0,0,4,16,None
baseline_metrics,11.09,0,38,0,89.178,1740,0,0,0,4,16,None
baseline_metrics,12.1,0,38,0,88.156,1740,0,0,0,4,16,None
baseline_metrics,13.1,0,38,0,87.182,1740,0,0,0,4,16,None
baseline_metrics,14.1,0,38,0,87.328,1740,0,0,0,4,16,None
baseline_metrics,15.1,0,38,0,87.377,1740,0,0,0,4,16,None
baseline_metrics,16.1,0,38,0,87.376,1740,0,0,0,4,16,None
baseline_metrics,17.19,0,38,0,87.377,1740,0,0,0,4,16,None
baseline_metrics,18.2,0,38,0,89.373,1740,0,0,0,4,16,None
baseline_metrics,19.2,0,38,0,88.4,1740,0,0,0,4,16,None
baseline_metrics,20.2,0,38,0,87.474,1740,0,0,0,4,16,None
baseline_metrics,21.2,0,38,0,87.425,1740,0,0,0,4,16,None
baseline_metrics,22.2,0,38,0,87.425,1740,0,0,0,4,16,None
baseline_metrics,23.2,0,38,0,87.621,1740,0,0,0,4,16,None
baseline_metrics,24.2,0,38,0,87.621,1740,0,0,0,4,16,None
baseline_metrics,25.3,0,38,0,87.571,1740,0,0,0,4,16,None
baseline_metrics,26.3,0,38,0,88.351,1740,0,0,0,4,16,None
baseline_metrics,27.3,0,38,0,87.658,1740,0,0,0,4,16,None
baseline_metrics,28.3,0,38,0,87.658,1740,0,0,0,4,16,None
baseline_metrics,29.3,0,38,0,87.62,1740,0,0,0,4,16,None
baseline_metrics,30.3,0,39,0,87.766,1740,0,0,0,4,16,None
baseline_metrics,31.3,0,39,0,87.815,1740,0,0,0,4,16,None
baseline_metrics,32.31,0,39,0,89.665,1740,0,0,0,4,16,None
baseline_metrics,33.4,0,39,0,88.643,1740,0,0,0,4,16,None
baseline_metrics,34.4,0,39,0,87.717,1740,0,0,0,4,16,None
baseline_metrics,35.4,0,39,0,87.863,1740,0,0,0,4,16,None
baseline_metrics,36.4,0,39,0,87.912,1740,0,0,0,4,16,None
baseline_metrics,37.4,0,39,0,87.912,1740,0,0,0,4,16,None
baseline_metrics,38.4,0,39,0,87.863,1740,0,0,0,4,16,None
baseline_metrics,39.41,0,39,0,89.957,1740,0,0,0,4,16,None
baseline_metrics,40.41,0,39,0,88.935,1740,0,0,0,4,16,None
baseline_metrics,41.51,0,39,0,87.912,1740,0,0,0,4,16,None
baseline_metrics,42.51,0,39,0,87.96,1740,0,0,0,4,16,None
baseline_metrics,43.51,0,39,0,88.009,1740,0,0,0,4,16,None
baseline_metrics,44.51,0,39,0,88.009,1740,0,0,0,4,16,None
baseline_metrics,45.51,0,39,0,88.057,1740,0,0,0,4,16,None
baseline_metrics,46.51,0,39,0,88.057,1740,0,0,0,4,16,None
baseline_metrics,47.51,0,39,0,89.313,1740,0,0,0,4,16,None
baseline_metrics,48.51,0,39,0,88.661,1740,0,0,0,4,16,None
baseline_metrics,49.61,0,39,0,88.009,1740,0,0,0,4,16,None
baseline_metrics,50.61,0,39,0,88.021,1740,0,0,0,4,16,None
baseline_metrics,51.61,0,39,0,88.021,1740,0,0,0,4,16,None
baseline_metrics,52.61,0,39,0,88.106,1740,0,0,0,4,16,None
baseline_metrics,53.61,0,39,0,88.203,1740,0,0,0,4,16,None
baseline_metrics,54.62,0,39,0,90.054,1740,0,0,0,4,16,None
baseline_metrics,55.62,0,39,0,89.129,1740,0,0,0,4,16,None
baseline_metrics,56.62,0,39,0,88.204,1740,0,0,0,4,16,None
baseline_metrics,57.71,0,39,0,88.253,1740,0,0,0,4,16,None
baseline_metrics,58.71,0,39,0,88.253,1740,0,0,0,4,16,None
baseline_metrics,59.71,0,39,0,88.204,1740,0,0,0,4,16,None
baseline_metrics,60.71,0,39,0,88.204,1740,0,0,0,4,16,None
baseline_metrics,61.71,0,39,0,90.152,1740,0,0,0,4,16,None
baseline_metrics,62.71,0,39,0,89.227,1740,0,0,0,4,16,None
baseline_metrics,63.71,0,39,0,88.252,1740,0,0,0,4,16,None
baseline_metrics,64.71,0,40,0,88.204,1740,0,0,0,4,16,None
baseline_metrics,65.81,0,39,0,88.253,1740,0,0,0,4,16,None
baseline_metrics,66.81,0,39,0,88.351,1740,0,0,0,4,16,None
baseline_metrics,67.81,0,40,0,88.35,1740,0,0,0,4,16,None
baseline_metrics,68.81,0,40,0,88.302,1740,0,0,0,4,16,None
baseline_metrics,69.81,0,40,0,89.86,1740,0,0,0,4,16,None
baseline_metrics,70.81,0,40,0,89.178,1740,0,0,0,4,16,None
baseline_metrics,71.82,0,40,0,88.545,1740,0,0,0,4,16,None
baseline_metrics,72.82,0,40,0,88.594,1740,0,0,0,4,16,None
baseline_metrics,73.92,0,40,0,88.594,1740,0,0,0,4,16,None
baseline_metrics,74.92,0,40,0,88.582,1740,0,0,0,4,16,None
baseline_metrics,75.92,0,40,0,88.631,1740,0,0,0,4,16,None
baseline_metrics,76.92,0,40,0,90.541,1740,0,0,0,4,16,None
baseline_metrics,77.92,0,40,0,89.616,1740,0,0,0,4,16,None
baseline_metrics,78.92,0,40,0,88.691,1740,0,0,0,4,16,None
